Region	DNase	HET	TSS	acetylations	bivalent promoters	enhancers	exon	others	polycomb repressed	promoters	quescient	transcribed and enhancer	transcription	weak enhancers	weak transcription	znf
chr1:84140809-84149103	0.0	0.0	0.0	0.0	0.0	50.63901615625753	0.0	0.0	0.0	2.411381721726549	3.7135278514588856	0.0	0.0	43.236074270557026	0.0	0.0
chr1:84162312-84170361	0.0	0.0	0.0	0.0	9.939122872406509	37.81836252950677	0.0	0.0	0.0	0.0	0.0	4.9695614362032545	5.031680954155796	42.24127220772767	0.0	0.0
chr1:84501789-84504008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.127084272194683	0.0	50.833708877872915	27.039206849932402	0.0	0.0	0.0
chr1:84173375-84175148	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:84691262-84695501	0.0	9.436187780136825	0.0	13.776834158999765	0.0	33.02665723047888	0.0	0.0	0.0	10.733663599905638	14.154281670205238	0.0	0.0	18.87237556027365	0.0	0.0
chr1:84480050-84481804	0.0	0.0	0.0	0.0	0.0	0.0	11.402508551881414	0.0	0.0	49.42987457240593	0.0	34.20752565564425	4.960091220068415	0.0	0.0	0.0
chr1:84499414-84501351	0.0	0.0	0.0	0.0	0.0	0.0	20.65049044914817	0.0	0.0	0.0	0.0	1.7552916881775942	77.59421786267424	0.0	0.0	0.0
chr1:84433177-84436740	5.613247263541958	0.0	5.613247263541958	0.0	0.0	34.32500701655908	0.0	0.0	0.0	11.226494527083917	0.0	0.0	0.0	43.222003929273086	0.0	0.0
chr1:84153572-84154413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
chr1:84211498-84212446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.29535864978902	0.0	0.0	0.0	34.70464135021097	0.0
chr1:84075445-84076468	0.0	0.0	0.0	0.0	0.0	41.348973607038126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.65102639296188	0.0	0.0
chr1:84488606-84489716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0
chr1:84176671-84177996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.09433962264151	84.90566037735849	0.0	0.0
chr1:84089070-84090760	0.0	0.0	0.0	0.0	0.0	76.33136094674556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.668639053254438	0.0	0.0
chr1:84440059-84442205	0.0	0.0	0.0	9.319664492078285	0.0	4.100652376514446	0.0	0.0	0.0	0.0	77.26001863932899	0.0	0.0	9.319664492078285	0.0	0.0
chr1:84941385-84944395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.734219269103	0.0	20.26578073089701	0.0	0.0	0.0	0.0	0.0
chr1:84091787-84096071	0.0	9.337068160597573	0.0	3.594771241830065	0.0	0.0	0.0	0.0	0.0	0.0	32.6797385620915	0.0	28.011204481792717	12.371615312791784	4.6685340802987865	9.337068160597573
chr1:84156623-84161645	0.0	0.0	0.0	0.0	0.0	9.836718438868978	0.0	0.0	0.0	0.0	3.982477100756671	0.0	10.51373954599761	63.71963361210673	3.982477100756671	7.964954201513342
chr1:84992823-84993021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
chr1:84298751-84298945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:84487580-84487789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0
chr1:84466329-84466562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:84076595-84076843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.806451612903224	0.0	49.193548387096776	0.0	0.0	0.0	0.0
chr1:84749396-84749654	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:84431459-84431679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
chr1:84156039-84156280	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:84621560-84621765	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:84836212-84836463	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:84760369-84760618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.562248995983936	0.0	0.0	59.43775100401606	0.0	0.0
chr1:84508395-84508687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0
chr1:84486570-84486901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0
chr1:84079815-84080114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0
chr1:84171503-84171873	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:84575579-84575972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.8854961832061	0.0	0.0	35.11450381679389	0.0	0.0
chr1:84504588-84504963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:84296105-84296458	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:84139345-84139804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
chr1:84498170-84498554	0.0	0.0	0.0	0.0	0.0	0.0	38.28125	0.0	0.0	0.0	0.0	0.0	61.71875	0.0	0.0	0.0
chr1:84497485-84497968	0.0	0.0	0.0	0.0	0.0	0.0	10.559006211180124	0.0	0.0	0.0	0.0	0.0	89.44099378881988	0.0	0.0	0.0
chr1:84080226-84080771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0
chr1:84299874-84300347	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
