Region	DNase	HET	TSS	acetylations	bivalent promoters	enhancers	exon	others	polycomb repressed	promoters	quescient	transcribed and enhancer	transcription	weak enhancers	weak transcription	znf
chr1:101140001-101560000	0.28571496598801427	4.846678206376682	0.1904766439920095	7.80954240367239	0.23809580499001187	14.105509775023272	0.14285748299400713	1.0952407029540545	8.761925623632436	0.6190490929740309	28.190543310817407	0.5714299319760285	0.0	33.04769773261365	0.09523832199600475	0.0
chr1:108550001-108900000	0.2857151020431487	1.085717387763965	0.6857162449035569	6.571447346992421	0.0	15.085757387878251	2.685721959205598	1.6571475918502623	4.685727673507638	3.085723102066006	11.079174511927176	4.057154449012711	28.11436604104583	10.80003085723102	8.292023691496262	1.8285766530761516
chr1:109220001-109470000	0.24000096000384002	1.52000608002432	0.72000288001152	6.640026560106241	2.08000832003328	11.76004704018816	10.48004192016768	0.0	11.128844515378061	5.0400201600806405	2.4000096000384	16.240064960259843	21.190884763539053	5.280021120084481	4.24001696006784	1.04000416001664
chr1:114340001-114930000	0.0	3.728819879355728	0.37288198793557276	4.542380580306069	0.2711869003167802	5.694924906652385	4.881364205702043	0.20339017523758515	22.681563867057402	2.6440722780886072	16.711892732021578	3.1866155705348653	23.55936196502028	4.3011937308368315	6.881367595538297	0.3389836253959752
chr1:116450001-116570000	0.3333361111342594	1.3333444445370377	0.0	9.647580396503304	0.0	35.000291669097244	0.3333361111342594	0.0	0.8333402778356487	1.0183418195151626	4.500037500312502	5.666713889282411	16.000133334444453	17.500145834548622	6.666722222685189	1.166676388969908
chr1:117610001-117640000	0.0	0.0	0.0	0.6666888896296543	0.0	37.25790859695323	0.0	0.0	3.406780226007534	2.000066668888963	0.6666888896296543	2.6667555585186173	6.000200006666889	36.66788892963099	10.66702223407447	0.0
chr1:156740001-157190000	0.17777817284038408	1.0222244938322085	0.5333345185211523	3.5557856795237326	4.13334251853893	9.600021333380742	9.95557767906151	0.0	28.3980631068069	5.422234271631714	5.555567901262003	6.134902522005604	17.555594567987928	4.222231604959123	3.0222289382865295	0.7111126913615363
chr1:160730001-160770000	0.0	6.000150003750094	0.0	4.500112502812571	0.0	27.500687517187927	0.0	0.0	2.997574939373484	0.0	16.000400010000252	0.0	0.0	43.001075026875675	0.0	0.0
chr1:166810001-167340000	0.30188736205162653	5.81133171949381	0.6415106443597063	5.471708437185731	1.8867960128226657	13.6604031328361	1.773588252053306	0.0	22.07551335002519	2.0000037735920255	12.219268338242149	3.1698173015420785	16.18870979001847	8.150958775393915	5.252274060894455	1.3962290494887726
chr1:169730001-169910000	0.11111172839849111	1.00000555558642	0.11111172839849111	7.888932716292868	0.0	6.333368518713993	5.6666981483230465	0.0	16.476758204212246	2.7777932099622777	8.777826543480797	2.2222345679698217	34.11130061833677	4.300579447663598	8.00004444469136	2.2222345679698217
